,Unnamed: 0.1,Unnamed: 0,customer_id,first_name,last_name,email,subscription_type,plan_type,auto_renew,avg_articles_per_week,days_since_last_login,support_tickets_last_90d,discount_used_last_renewal,email_open_rate,time_spent_per_session_mins,region,most_read_category,completion_rate,article_skips_per_week,primary_device,previous_renewal_status,last_campaign_engaged,campaign_ctr,nps_score,sentiment_score,subscription_start_date,subscription_end_date,csat_score,customer_age,gender,signup_source,payment_method,downgrade_history,subscription_status,Phone,full_name,churn_score,churn_risk
241,241,241,EC-2023-000242,Melissa,Clark,melissa_clark@mail.com,Digital+Print,Annual,No,2.31,14,1,Yes,0.1,15.41,Asia,Technology,0.59,0,Mobile,Auto,No Data,0.19,15,0.5,2023-12-17 05:54:16.426454,2024-12-16 05:54:16.426454,3,65,Female,Web,Credit Card,Yes,Active,+91-9257351079,Melissa Clark,0.0013485857,Low
242,242,242,EC-2023-000243,Emma,Garcia,emma_garcia@hotmail.com,Digital,Annual,Yes,2.94,5,3,No,0.72,-2.88,North America,Politics,0.73,0,Mobile,Auto,Newsletter Promo,0.46,-79,-0.35,2023-01-16 05:54:16.426458,2024-01-16 05:54:16.426458,5,53,Female,Mobile App,Credit Card,No,Active,+1-538-417-5013,Emma Garcia,0.00028338446,Low
243,243,243,EC-2024-000244,Benjamin,Walker,benjamin_walker@mail.com,Digital+Print,Annual,Yes,3.09,12,2,No,0.69,11.58,Asia,Finance,0.83,1,Mobile,Auto,No Data,0.14,44,-0.14,2024-02-19 05:54:16.426462,2025-02-18 05:54:16.426462,1,57,Male,Referral,Credit Card,No,Active,+91-8354128953,Benjamin Walker,2.2162752e-05,Low
244,244,244,EC-2024-000245,Linda,Mitchell,linda_mitchell@gmail.com,Digital,Annual,Yes,4.27,28,2,Yes,0.1,10.14,Europe,Technology,0.68,0,Mobile,Auto,Survey,0.09,60,0.02,2024-12-31 05:54:16.426466,2025-12-31 05:54:16.426466,5,42,Female,Web,PayPal,No,Active,+44-7953225771,Linda Mitchell,0.002189192,Low
245,245,245,EC-2025-000246,Sharon,Lee,sharon_lee@yahoo.com,Digital,Monthly,Yes,0.0,18,0,Yes,0.92,3.28,Europe,Politics,0.74,1,Desktop,Auto,No Data,0.4,74,-0.55,2025-03-13 05:54:16.426471,2026-03-13 05:54:16.426471,3,53,Other,Web,Credit Card,No,Cancelled,+44-7382596211,Sharon Lee,0.99954176,Churned
246,246,246,EC-2024-000247,Christine,Anderson,christine_anderson@gmail.com,Digital,Monthly,No,2.09,2,2,No,0.57,11.24,North America,Politics,0.95,2,Mobile,Auto,Newsletter Promo,0.51,-13,-0.62,2024-11-12 05:54:16.426475,2025-11-12 05:54:16.426475,3,30,Female,Web,Credit Card,No,Active,+1-946-700-7631,Christine Anderson,0.0015969032,Low
247,247,247,EC-2024-000248,Michael,Rivera,michael_rivera@gmail.com,Digital,Monthly,Yes,3.32,7,1,No,0.36,11.9,Europe,Politics,0.51,1,Mobile,Manual,Newsletter Promo,0.25,42,0.1,2024-05-16 05:54:16.426479,2025-05-16 05:54:16.426479,5,24,Male,Web,Credit Card,No,Active,+44-7065697789,Michael Rivera,1.2034883e-05,Low
248,248,248,EC-2023-000249,Christopher,Wright,christopher_wright@yahoo.com,Digital,Annual,Yes,4.8,7,1,No,0.76,12.36,Europe,Politics,0.55,0,Mobile,Manual,Newsletter Promo,0.14,-68,0.95,2023-12-12 05:54:16.426484,2024-12-11 05:54:16.426484,1,18,Male,Web,Credit Card,No,Active,+44-7665719842,Christopher Wright,3.4274897e-05,Low
249,249,249,EC-2023-000250,Susan,Wright,susan_wright@outlook.com,Digital+Print,Monthly,No,2.26,22,2,No,0.26,-0.61,Europe,Politics,0.8,1,Desktop,Auto,Newsletter Promo,0.35,-86,-0.47,2023-11-07 05:54:16.426488,2024-11-06 05:54:16.426488,5,26,Female,Web,PayPal,No,Cancelled,+44-7946478144,Susan Wright,0.99563146,Churned
250,250,250,EC-2024-000251,Robert,White,robert_white@yahoo.com,Digital+Print,Annual,No,0.19,25,2,No,0.69,15.47,Europe,Politics,0.73,2,Desktop,Auto,Retention Offer,0.13,-74,-0.48,2024-07-07 05:54:16.426492,2025-07-07 05:54:16.426492,5,45,Male,Mobile App,PayPal,No,Cancelled,+44-7397090495,Robert White,0.97944427,Churned
251,251,251,EC-2023-000252,Alexander,Allen,alexander_allen@hotmail.com,Digital,Monthly,Yes,3.93,19,2,No,0.04,7.05,Europe,Politics,0.42,1,Desktop,Manual,No Data,0.17,88,-0.61,2023-12-03 05:54:16.426497,2024-12-02 05:54:16.426497,5,53,Male,Mobile App,Debit Card,No,Active,+44-7184086444,Alexander Allen,0.00044259822,Low
252,252,252,EC-2024-000253,Ryan,Wright,ryan_wright@icloud.com,Digital+Print,Monthly,Yes,2.05,14,0,No,0.84,12.75,North America,Politics,0.56,3,Mobile,Manual,Newsletter Promo,0.53,95,-0.11,2024-11-06 05:54:16.426501,2025-11-06 05:54:16.426501,1,63,Male,Mobile App,Credit Card,No,Active,+1-279-218-3992,Ryan Wright,3.5070978e-05,Low
253,253,253,EC-2024-000254,Ryan,Johnson,ryan_johnson@mail.com,Digital+Print,Monthly,Yes,1.22,3,0,Yes,0.45,12.96,North America,Environment,0.63,1,Mobile,Auto,No Data,0.44,11,-0.49,2024-03-30 05:54:16.426505,2025-03-30 05:54:16.426505,4,47,Male,Mobile App,Credit Card,No,Cancelled,+1-741-938-9330,Ryan Johnson,0.9890838,Churned
254,254,254,EC-2023-000255,Amy,Harris,amy_harris@mail.com,Digital,Monthly,Yes,2.06,18,0,No,0.64,6.49,North America,Finance,0.59,0,Mobile,Manual,Survey,0.47,-19,-0.48,2023-06-20 05:54:16.426509,2024-06-19 05:54:16.426509,1,26,Female,Web,Credit Card,No,Active,+1-954-698-1598,Amy Harris,0.00096918666,Low
255,255,255,EC-2023-000256,Amy,Martinez,amy_martinez@icloud.com,Digital+Print,Monthly,Yes,2.72,20,2,No,0.22,12.64,North America,Politics,0.42,1,Mobile,Manual,Retention Offer,0.24,-53,0.11,2023-11-16 05:54:16.426513,2024-11-15 05:54:16.426513,5,47,Female,Web,Debit Card,Yes,Active,+1-426-715-8567,Amy Martinez,0.00041862065,Low
256,256,256,EC-2023-000257,Kevin,Thompson,kevin_thompson@mail.com,Espresso,Monthly,Yes,2.09,2,0,No,0.68,8.46,Asia,Finance,0.95,1,Desktop,Auto,Survey,0.51,-93,-0.72,2023-09-04 05:54:16.426517,2024-09-03 05:54:16.426517,2,52,Male,Mobile App,Credit Card,No,Active,+91-9163042112,Kevin Thompson,4.6707748e-05,Low
257,257,257,EC-2024-000258,Jennifer,Young,jennifer_young@outlook.com,Espresso,Monthly,Yes,0.0,12,0,Yes,0.77,1.71,Asia,Culture,0.83,1,Tablet,Auto,No Data,0.11,33,0.81,2024-06-30 05:54:16.426522,2025-06-30 05:54:16.426522,2,64,Female,Mobile App,Credit Card,No,Cancelled,+91-9555066668,Jennifer Young,0.99768114,Churned
258,258,258,EC-2024-000259,Lisa,Harris,lisa_harris@mail.com,Espresso,Monthly,Yes,4.35,7,1,No,0.47,14.67,North America,Technology,0.64,0,Desktop,Manual,No Data,0.26,90,-0.59,2024-10-09 05:54:16.426526,2025-10-09 05:54:16.426526,3,44,Female,Web,Credit Card,Yes,Active,+1-499-359-5832,Lisa Harris,1.4690764e-05,Low
259,259,259,EC-2023-000260,Kimberly,Anderson,kimberly_anderson@gmail.com,Digital+Print,Monthly,Yes,4.91,22,2,No,0.62,6.9,Others,Politics,0.78,0,Tablet,Auto,Newsletter Promo,0.24,17,0.57,2023-11-13 05:54:16.426530,2024-11-12 05:54:16.426530,4,46,Female,Web,Credit Card,Yes,Active,+70-2959704164,Kimberly Anderson,0.0014263829,Low
260,260,260,EC-2024-000261,Robert,Walker,robert_walker@hotmail.com,Espresso,Monthly,Yes,3.98,15,2,No,0.46,6.58,Europe,Technology,0.93,1,Desktop,Manual,No Data,0.05,-17,0.99,2024-11-24 05:54:16.426534,2025-11-24 05:54:16.426534,3,22,Other,Mobile App,Credit Card,No,Active,+44-7713152021,Robert Walker,0.00014472957,Low
261,261,261,EC-2022-000262,Sandra,Young,sandra_young@mail.com,Espresso,Annual,Yes,1.29,12,1,Yes,0.89,8.39,Others,Technology,0.4,1,Mobile,Manual,Newsletter Promo,0.29,-99,0.6,2022-11-14 05:54:16.426538,2023-11-14 05:54:16.426538,3,18,Other,Web,PayPal,No,Active,+47-3362189962,Sandra Young,0.2667551,High
262,262,262,EC-2025-000263,Stephanie,King,stephanie_king@icloud.com,Digital,Monthly,Yes,2.7,2,0,No,0.5,11.09,Asia,Technology,0.48,0,Tablet,Manual,No Data,0.14,49,0.54,2025-04-15 05:54:16.426543,2026-04-15 05:54:16.426543,2,60,Female,Web,PayPal,No,Active,+91-8024566471,Stephanie King,3.8785623e-05,Low
263,263,263,EC-2025-000264,Carolyn,Allen,carolyn_allen@icloud.com,Digital,Monthly,Yes,2.99,15,1,Yes,0.84,9.77,Asia,Technology,0.68,0,Mobile,Auto,Retention Offer,0.46,17,0.4,2025-04-09 05:54:16.426547,2026-04-09 05:54:16.426547,1,68,Female,Referral,Credit Card,No,Active,+91-8047117130,Carolyn Allen,0.00030511466,Low
264,264,264,EC-2023-000265,Patrick,Harris,patrick_harris@hotmail.com,Digital,Monthly,Yes,3.9,8,0,Yes,0.8,12.19,North America,Culture,0.86,1,Desktop,Auto,No Data,0.34,-80,0.11,2023-04-04 05:54:16.426552,2024-04-03 05:54:16.426552,3,22,Male,Mobile App,Credit Card,Yes,Active,+1-963-997-3207,Patrick Harris,8.4459e-05,Low
265,265,265,EC-2022-000266,Rebecca,Hernandez,rebecca_hernandez@hotmail.com,Espresso,Monthly,Yes,4.0,27,0,Yes,0.41,4.64,North America,Culture,0.33,1,Mobile,Auto,Newsletter Promo,0.49,33,0.59,2022-11-22 05:54:16.426555,2023-11-22 05:54:16.426555,3,46,Female,Mobile App,Credit Card,Yes,Active,+1-759-435-2036,Rebecca Hernandez,0.0049581924,Low
266,266,266,EC-2024-000267,Anna,Moore,anna_moore@hotmail.com,Digital,Monthly,Yes,1.9,13,0,Yes,0.23,7.03,North America,Technology,0.99,2,Mobile,Manual,Retention Offer,0.51,22,-0.13,2024-01-28 05:54:16.426560,2025-01-27 05:54:16.426560,4,34,Female,Web,PayPal,No,Cancelled,+1-956-840-9551,Anna Moore,0.98641866,Churned
267,267,267,EC-2024-000268,Rebecca,Harris,rebecca_harris@hotmail.com,Digital,Monthly,Yes,3.12,12,1,No,0.41,9.54,Asia,Finance,0.62,1,Desktop,Manual,No Data,0.41,-5,0.43,2024-11-07 05:54:16.426564,2025-11-07 05:54:16.426564,2,68,Female,Mobile App,PayPal,No,Active,+91-7405503858,Rebecca Harris,2.8821614e-05,Low
268,268,268,EC-2024-000269,Alexander,Brown,alexander_brown@icloud.com,Digital,Monthly,No,3.69,20,1,No,0.83,17.59,North America,Technology,0.55,0,Mobile,Auto,No Data,0.14,97,0.55,2024-02-09 05:54:16.426568,2025-02-08 05:54:16.426568,1,66,Male,Mobile App,PayPal,No,Cancelled,+1-519-780-1406,Alexander Brown,0.995786,Churned
269,269,269,EC-2022-000270,Justin,Carter,justin_carter@gmail.com,Digital+Print,Monthly,Yes,5.18,24,1,Yes,0.23,9.54,Asia,Culture,0.5,0,Mobile,Auto,Newsletter Promo,0.3,-88,0.25,2022-10-19 05:54:16.426573,2023-10-19 05:54:16.426573,4,54,Male,Mobile App,Credit Card,No,Active,+91-8444621547,Justin Carter,0.002207939,Low
270,270,270,EC-2024-000271,Ronald,Lee,ronald_lee@mail.com,Digital+Print,Monthly,No,4.06,6,1,No,0.52,14.34,North America,Politics,0.42,0,Mobile,Manual,Retention Offer,0.18,-100,-0.13,2024-12-28 05:54:16.426577,2025-12-28 05:54:16.426577,1,41,Male,Web,PayPal,No,Active,+1-417-559-9073,Ronald Lee,0.00137221,Low
271,271,271,EC-2023-000272,Susan,Thomas,susan_thomas@mail.com,Digital,Annual,Yes,4.18,14,2,No,0.81,10.15,Asia,Environment,0.85,1,Mobile,Manual,No Data,0.15,49,0.24,2023-12-19 05:54:16.426581,2024-12-18 05:54:16.426581,1,69,Female,Referral,Debit Card,No,Active,+91-7253323403,Susan Thomas,2.5295883e-05,Low
272,272,272,EC-2024-000273,Katherine,Clark,katherine_clark@yahoo.com,Digital,Annual,Yes,3.13,6,1,Yes,0.35,8.07,North America,Politics,0.97,0,Tablet,Auto,No Data,0.11,16,-0.18,2024-10-27 05:54:16.426585,2025-10-27 05:54:16.426585,3,44,Other,Web,PayPal,No,Active,+1-363-360-1412,Katherine Clark,0.00015749001,Low
273,273,273,EC-2023-000274,Matthew,Johnson,matthew_johnson@hotmail.com,Digital+Print,Monthly,Yes,5.12,5,1,No,0.64,9.01,North America,Finance,0.59,0,Desktop,Auto,Retention Offer,0.26,51,-0.27,2023-01-30 05:54:16.426590,2024-01-30 05:54:16.426590,4,26,Male,Web,Credit Card,No,Active,+1-711-811-8762,Matthew Johnson,1.3964904e-05,Low
274,274,274,EC-2023-000275,Carol,Lopez,carol_lopez@yahoo.com,Digital,Monthly,Yes,3.61,1,1,No,0.25,9.33,North America,Culture,0.97,0,Mobile,Manual,No Data,0.16,-37,0.39,2023-09-27 05:54:16.426594,2024-09-26 05:54:16.426594,3,55,Female,Web,PayPal,No,Active,+1-736-898-9417,Carol Lopez,2.9757217e-05,Low
275,275,275,EC-2023-000276,Joshua,Jackson,joshua_jackson@hotmail.com,Digital+Print,Monthly,Yes,1.71,8,3,No,0.11,12.41,Europe,Politics,0.88,0,Mobile,Manual,No Data,0.35,68,0.07,2023-02-14 05:54:16.426599,2024-02-14 05:54:16.426599,5,30,Male,Mobile App,PayPal,Yes,Cancelled,+44-7302028556,Joshua Jackson,0.029520994,Churned
276,276,276,EC-2022-000277,Sandra,Rodriguez,sandra_rodriguez@outlook.com,Digital,Monthly,Yes,5.11,21,1,No,0.79,15.5,North America,Finance,0.64,1,Desktop,Manual,Retention Offer,0.41,49,0.39,2022-12-31 05:54:16.426603,2023-12-31 05:54:16.426603,1,43,Female,Mobile App,Credit Card,No,Active,+1-770-313-7214,Sandra Rodriguez,0.0006223847,Low
277,277,277,EC-2023-000278,Carol,Allen,carol_allen@gmail.com,Digital,Annual,Yes,4.05,23,1,Yes,0.1,11.44,Asia,Politics,0.77,1,Mobile,Auto,No Data,0.06,-40,0.08,2023-06-28 05:54:16.426607,2024-06-27 05:54:16.426607,4,28,Female,Mobile App,Credit Card,No,Active,+91-7289374088,Carol Allen,0.00028595273,Low
278,278,278,EC-2025-000279,Stephen,Hall,stephen_hall@mail.com,Digital,Monthly,Yes,2.34,16,1,No,0.27,14.75,North America,Finance,0.6,2,Mobile,Auto,No Data,0.24,7,0.25,2025-03-11 05:54:16.426612,2026-03-11 05:54:16.426612,2,41,Male,Web,PayPal,No,Active,+1-552-345-2298,Stephen Hall,0.00014690105,Low
279,279,279,EC-2024-000280,Brandon,Flores,brandon_flores@outlook.com,Digital,Monthly,No,2.28,4,0,No,0.86,6.14,North America,Politics,0.69,2,Mobile,Auto,No Data,0.09,-89,0.7,2024-10-30 05:54:16.426616,2025-10-30 05:54:16.426616,3,50,Male,Mobile App,PayPal,No,Active,+1-585-349-6557,Brandon Flores,0.0032958963,Low
280,280,280,EC-2023-000281,Justin,Lopez,justin_lopez@gmail.com,Digital,Monthly,No,3.44,11,2,No,0.35,8.34,Asia,Finance,0.34,2,Desktop,Manual,Newsletter Promo,0.49,-11,-0.08,2023-02-12 05:54:16.426620,2024-02-12 05:54:16.426620,5,66,Male,Web,Debit Card,No,Active,+91-7940131198,Justin Lopez,0.0012868623,Low
281,281,281,EC-2024-000282,Kimberly,Perez,kimberly_perez@gmail.com,Digital,Annual,Yes,3.69,0,1,Yes,0.97,7.1,North America,Finance,0.79,2,Mobile,Manual,No Data,0.5,31,-0.2,2024-03-31 05:54:16.426624,2025-03-31 05:54:16.426624,5,23,Other,Web,Credit Card,No,Active,+1-934-955-5976,Kimberly Perez,7.343298e-05,Low
282,282,282,EC-2024-000283,Timothy,Rivera,timothy_rivera@mail.com,Digital+Print,Monthly,Yes,3.3,9,0,Yes,0.98,11.26,Others,Environment,0.34,3,Mobile,Manual,Newsletter Promo,0.19,-18,0.21,2024-04-01 05:54:16.426628,2025-04-01 05:54:16.426628,5,52,Male,Mobile App,PayPal,No,Active,+31-9391245275,Timothy Rivera,0.00015576981,Low
283,283,283,EC-2024-000284,Jennifer,Flores,jennifer_flores@hotmail.com,Digital,Monthly,No,3.47,10,1,No,0.27,8.56,Others,Environment,0.87,1,Mobile,Auto,Survey,0.14,27,-1.29,2024-05-16 05:54:16.426633,2025-05-16 05:54:16.426633,3,33,Female,Web,Credit Card,Yes,Active,+86-6101965405,Jennifer Flores,0.001097735,Low
284,284,284,EC-2024-000285,Timothy,Flores,timothy_flores@hotmail.com,Digital,Monthly,No,5.55,15,0,Yes,0.04,12.92,North America,Politics,0.88,1,Mobile,Manual,Retention Offer,0.49,39,0.35,2024-01-09 05:54:16.426637,2025-01-08 05:54:16.426637,2,30,Male,Mobile App,Debit Card,No,Active,+1-980-703-4548,Timothy Flores,0.0021536846,Low
285,285,285,EC-2024-000286,Angela,Jackson,angela_jackson@outlook.com,Digital,Monthly,No,4.61,13,0,No,0.71,6.28,North America,Technology,0.47,0,Desktop,Auto,No Data,0.61,-68,-0.43,2024-12-09 05:54:16.426641,2025-12-09 05:54:16.426641,4,61,Female,Web,Credit Card,No,Active,+1-786-466-5016,Angela Jackson,0.0016665997,Low
286,286,286,EC-2023-000287,Steven,Martinez,steven_martinez@hotmail.com,Digital,Monthly,Yes,3.29,7,0,Yes,0.45,10.17,North America,Politics,0.53,1,Mobile,Auto,No Data,0.27,48,0.84,2023-11-16 05:54:16.426645,2024-11-15 05:54:16.426645,1,28,Male,Web,Credit Card,No,Active,+1-864-735-1118,Steven Martinez,0.00032646564,Low
287,287,287,EC-2023-000288,Eric,Clark,eric_clark@outlook.com,Digital,Monthly,Yes,4.41,23,0,No,0.1,12.75,Asia,Politics,0.64,2,Mobile,Auto,Newsletter Promo,0.11,27,0.39,2023-07-17 05:54:16.426649,2024-07-16 05:54:16.426649,2,40,Male,Web,Credit Card,No,Active,+91-8419057292,Eric Clark,0.00042351737,Low
288,288,288,EC-2023-000289,Patrick,Adams,patrick_adams@yahoo.com,Digital,Monthly,Yes,1.45,16,2,Yes,0.71,1.74,Europe,Politics,0.72,0,Mobile,Manual,No Data,0.13,-1,0.46,2023-09-23 05:54:16.426653,2024-09-22 05:54:16.426653,3,19,Male,Web,PayPal,No,Cancelled,+44-7031806862,Patrick Adams,0.9995678,Churned
289,289,289,EC-2024-000290,Eric,Thomas,eric_thomas@gmail.com,Digital,Monthly,No,3.6,24,2,No,0.03,18.49,Europe,Environment,0.5,1,Mobile,Manual,No Data,0.17,5,0.47,2024-01-14 05:54:16.426657,2025-01-13 05:54:16.426657,4,47,Male,Web,Credit Card,No,Cancelled,+44-7922959484,Eric Thomas,0.9958775,Churned
290,290,290,EC-2023-000291,Joseph,Campbell,joseph_campbell@icloud.com,Digital,Monthly,Yes,5.71,17,2,No,0.87,8.87,Asia,Environment,0.71,2,Desktop,Auto,Retention Offer,0.25,-29,-0.23,2023-04-06 05:54:16.426662,2024-04-05 05:54:16.426662,1,36,Male,Web,PayPal,Yes,Active,+91-8702612567,Joseph Campbell,0.00042211273,Low
291,291,291,EC-2023-000292,Nicole,Clark,nicole_clark@mail.com,Digital,Monthly,No,2.67,11,0,No,0.14,1.9,North America,Politics,0.51,0,Desktop,Auto,No Data,0.29,-27,-0.13,2023-03-18 05:54:16.426666,2024-03-17 05:54:16.426666,4,57,Female,Mobile App,Credit Card,No,Active,+1-202-399-2994,Nicole Clark,0.0010748821,Low
292,292,292,EC-2024-000293,James,Lopez,james_lopez@icloud.com,Digital+Print,Monthly,No,1.73,24,2,Yes,0.13,10.63,Asia,Politics,0.34,1,Mobile,Manual,No Data,0.39,-5,-0.85,2024-08-09 05:54:16.426670,2025-08-09 05:54:16.426670,1,62,Male,Web,Credit Card,Yes,Cancelled,+91-7634767702,James Lopez,0.99994504,Churned
293,293,293,EC-2024-000294,Michelle,Anderson,michelle_anderson@icloud.com,Digital+Print,Monthly,Yes,2.02,16,0,No,0.18,10.13,Asia,Politics,0.3,0,Mobile,Auto,Retention Offer,0.07,-9,0.75,2024-12-07 05:54:16.426674,2025-12-07 05:54:16.426674,1,63,Female,Mobile App,Credit Card,Yes,Active,+91-8363015419,Michelle Anderson,0.0056237443,Low
294,294,294,EC-2023-000295,Matthew,Roberts,matthew_roberts@mail.com,Digital+Print,Annual,No,1.37,27,1,Yes,0.96,9.67,Europe,Finance,0.37,0,Mobile,Manual,Survey,0.25,-27,-0.64,2023-05-23 05:54:16.426678,2024-05-22 05:54:16.426678,5,64,Male,Mobile App,Credit Card,No,Cancelled,+44-7112209291,Matthew Roberts,0.9963251,Churned
295,295,295,EC-2024-000296,Charles,Jackson,charles_jackson@gmail.com,Digital+Print,Monthly,No,1.82,25,2,No,0.69,13.96,Asia,Technology,0.85,2,Desktop,Auto,No Data,0.08,-29,-0.01,2024-12-04 05:54:16.426683,2025-12-04 05:54:16.426683,3,66,Male,Mobile App,Credit Card,No,Cancelled,+91-8587231077,Charles Jackson,0.9999274,Churned
296,296,296,EC-2024-000297,Larry,Mitchell,larry_mitchell@hotmail.com,Digital,Monthly,No,2.44,13,1,No,0.8,12.99,Asia,Politics,0.97,2,Desktop,Auto,Newsletter Promo,0.1,79,0.61,2024-07-09 05:54:16.426687,2025-07-09 05:54:16.426687,2,32,Male,Mobile App,PayPal,Yes,Active,+91-8729213383,Larry Mitchell,0.0020690518,Low
297,297,297,EC-2023-000298,Sandra,Garcia,sandra_garcia@outlook.com,Digital+Print,Monthly,No,0.89,15,1,No,0.4,11.19,North America,Culture,0.6,3,Mobile,Auto,No Data,0.31,74,0.77,2023-11-08 05:54:16.426691,2024-11-07 05:54:16.426691,5,59,Female,Web,Credit Card,Yes,Cancelled,+1-611-483-8961,Sandra Garcia,0.99406296,Churned
298,298,298,EC-2023-000299,Gregory,Mitchell,gregory_mitchell@yahoo.com,Digital,Monthly,No,3.02,13,3,Yes,0.34,11.8,Europe,Finance,0.66,3,Desktop,Auto,Newsletter Promo,0.22,-42,-0.13,2023-12-07 05:54:16.426696,2024-12-06 05:54:16.426696,5,50,Male,Web,Credit Card,No,Cancelled,+44-7638154558,Gregory Mitchell,0.0034479366,Churned
299,299,299,EC-2024-000300,Larry,Jones,larry_jones@outlook.com,Digital,Annual,Yes,4.35,8,0,No,0.23,9.58,Europe,Environment,0.4,0,Desktop,Auto,No Data,0.21,74,-0.85,2024-03-03 05:54:16.426700,2025-03-03 05:54:16.426700,4,61,Male,Mobile App,Credit Card,Yes,Active,+44-7378050061,Larry Jones,6.095878e-06,Low
300,300,300,EC-2023-000301,Lisa,Thomas,lisa_thomas@hotmail.com,Digital,Monthly,Yes,1.64,3,2,Yes,0.48,17.1,North America,Technology,0.69,1,Tablet,Auto,Survey,0.3,-45,0.12,2023-10-06 05:54:16.426704,2024-10-05 05:54:16.426704,1,58,Female,Mobile App,Credit Card,No,Cancelled,+1-776-207-2449,Lisa Thomas,0.995771,Churned
301,301,301,EC-2023-000302,Thomas,Scott,thomas_scott@yahoo.com,Digital+Print,Annual,Yes,5.28,24,2,Yes,0.55,4.08,Others,Finance,0.4,1,Mobile,Auto,Newsletter Promo,0.36,-88,0.17,2023-10-13 05:54:16.426708,2024-10-12 05:54:16.426708,1,22,Male,Web,Credit Card,No,Active,+20-5966715829,Thomas Scott,0.00032983342,Low
302,302,302,EC-2024-000303,Elizabeth,Hill,elizabeth_hill@hotmail.com,Digital,Monthly,Yes,3.77,22,1,Yes,0.63,10.56,North America,Culture,0.73,1,Mobile,Auto,No Data,0.17,71,0.21,2024-03-08 05:54:16.426712,2025-03-08 05:54:16.426712,4,39,Female,Mobile App,Debit Card,No,Active,+1-427-543-6949,Elizabeth Hill,0.00245258,Low
303,303,303,EC-2023-000304,Paul,Wilson,paul_wilson@yahoo.com,Digital,Monthly,No,4.55,10,1,No,0.26,10.26,Europe,Culture,0.95,2,Mobile,Manual,No Data,0.19,-66,-0.15,2023-07-08 05:54:16.426717,2024-07-07 05:54:16.426717,3,44,Male,Mobile App,Credit Card,Yes,Active,+44-7945142313,Paul Wilson,0.0010389497,Low
304,304,304,EC-2022-000305,Jeffrey,Wright,jeffrey_wright@yahoo.com,Digital+Print,Annual,Yes,2.01,5,1,Yes,0.95,13.25,Europe,Politics,0.44,1,Desktop,Auto,Newsletter Promo,0.37,18,-0.07,2022-10-29 05:54:16.426721,2023-10-29 05:54:16.426721,1,64,Male,Mobile App,PayPal,No,Active,+44-7670634982,Jeffrey Wright,0.00028889687,Low
305,305,305,EC-2025-000306,Janet,Martinez,janet_martinez@gmail.com,Digital,Annual,Yes,4.28,14,2,Yes,0.17,6.62,North America,Finance,0.84,0,Desktop,Auto,Survey,0.31,14,-0.35,2025-01-12 05:54:16.426725,2026-01-12 05:54:16.426725,5,52,Female,Mobile App,PayPal,No,Active,+1-923-928-9637,Janet Martinez,0.000247662,Low
306,306,306,EC-2024-000307,Benjamin,Lewis,benjamin_lewis@gmail.com,Digital,Annual,No,1.36,4,0,No,0.97,3.03,Others,Environment,0.32,0,Desktop,Manual,No Data,0.62,56,0.08,2024-06-15 05:54:16.426729,2025-06-15 05:54:16.426729,5,36,Male,Web,Credit Card,No,Active,+65-1607440581,Benjamin Lewis,0.027868854,Medium
307,307,307,EC-2025-000308,Thomas,Baker,thomas_baker@gmail.com,Espresso,Annual,Yes,4.34,10,1,Yes,0.01,10.63,Asia,Politics,0.56,0,Mobile,Auto,No Data,0.21,-45,0.4,2025-03-01 05:54:16.426733,2026-03-01 05:54:16.426733,1,56,Male,Web,Credit Card,No,Active,+91-9619356678,Thomas Baker,0.00020947245,Low
308,308,308,EC-2024-000309,Angela,Harris,angela_harris@gmail.com,Digital+Print,Monthly,No,3.26,24,0,No,0.48,11.12,Europe,Politics,0.38,1,Mobile,Auto,No Data,0.48,32,0.13,2024-08-14 05:54:16.426738,2025-08-14 05:54:16.426738,1,24,Female,Web,Credit Card,Yes,Cancelled,+44-7757362526,Angela Harris,0.99511105,Churned
309,309,309,EC-2022-000310,Stephen,Wright,stephen_wright@mail.com,Digital+Print,Annual,Yes,3.83,17,1,No,0.33,15.96,North America,Finance,0.55,1,Mobile,Manual,Newsletter Promo,0.4,94,-0.02,2022-09-12 05:54:16.426743,2023-09-12 05:54:16.426743,3,56,Male,Web,Credit Card,Yes,Active,+1-242-709-3220,Stephen Wright,6.883064e-05,Low
310,310,310,EC-2023-000311,Nicole,Campbell,nicole_campbell@yahoo.com,Digital+Print,Monthly,Yes,1.24,29,0,No,0.45,4.92,North America,Culture,0.42,1,Desktop,Manual,Newsletter Promo,0.33,-48,0.56,2023-02-26 05:54:16.426747,2024-02-26 05:54:16.426747,1,51,Female,Referral,PayPal,No,Cancelled,+1-847-526-6822,Nicole Campbell,0.99502265,Churned
311,311,311,EC-2024-000312,Amanda,Mitchell,amanda_mitchell@gmail.com,Digital,Annual,Yes,1.66,12,1,No,0.57,14.62,North America,Culture,0.56,2,Mobile,Manual,Survey,0.39,0,0.13,2024-02-29 05:54:16.426751,2025-02-28 05:54:16.426751,3,51,Female,Web,PayPal,No,Active,+1-833-948-5636,Amanda Mitchell,0.00031531663,Low
